,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
15,15,15,15,"Ostertag, Michael Henry",CSE 15L - Software Tools&Techniques Lab (B),FA20,156,64,98.4%,100.0%,5.53,A- (3.71),B+ (3.44),3.44,cse,15L
16,16,16,16,"Ostertag, Michael Henry",CSE 15L - Software Tools&Techniques Lab (C),FA20,144,58,80.7%,98.2%,5.95,A- (3.81),B+ (3.48),3.48,cse,15L
17,17,17,17,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),SP20,186,94,86.7%,82.0%,5.54,B+ (3.68),A- (3.74),3.74,cse,15L
18,18,18,18,"Ostertag, Michael Henry",CSE 15L - Software Tools&Techniques Lab (B),SP20,199,101,86.7%,94.9%,5.71,A- (3.72),A- (3.79),3.79,cse,15L
19,19,19,19,"Ostertag, Michael Henry",CSE 15L - Software Tools&Techniques Lab (C),SP20,203,83,86.3%,95.0%,5.72,A- (3.76),A- (3.74),3.74,cse,15L
20,20,20,20,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),WI20,196,95,80.2%,56.0%,3.99,A- (3.73),B+ (3.63),3.63,cse,15L
21,21,21,21,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (B),WI20,154,87,88.1%,82.1%,3.58,A- (3.78),A- (3.71),3.71,cse,15L
22,22,22,22,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (C),WI20,151,78,92.2%,73.7%,3.65,B+ (3.68),B+ (3.61),3.61,cse,15L
23,23,23,23,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),FA19,136,73,98.5%,80.6%,5.59,B+ (3.64),B (3.16),3.16,cse,15L
24,24,24,24,"Ostertag, Michael Henry",CSE 15L - Software Tools&Techniques Lab (B),FA19,125,64,88.1%,94.9%,5.1,B+ (3.68),B (3.21),3.21,cse,15L
25,25,25,25,"Ostertag, Michael Henry",CSE 15L - Software Tools&Techniques Lab (C),FA19,118,62,90.0%,96.7%,5.78,A- (3.70),B (3.27),3.27,cse,15L
26,26,26,26,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),SP19,154,84,86.5%,85.1%,4.45,B+ (3.44),B (3.11),3.11,cse,15L
27,27,27,27,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (B),SP19,136,72,86.6%,97.0%,3.72,B+ (3.54),B (3.27),3.27,cse,15L
28,28,28,28,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (C),SP19,151,72,84.3%,98.6%,3.89,B+ (3.65),B (3.27),3.27,cse,15L
29,29,29,29,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (A),WI19,188,89,82.5%,96.2%,3.24,B+ (3.67),B (3.29),3.29,cse,15L
30,30,30,30,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (B),WI19,187,84,85.9%,89.6%,3.99,B+ (3.62),B (3.29),3.29,cse,15L
31,31,31,31,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (C),WI19,137,69,79.0%,80.3%,4.09,B+ (3.68),B+ (3.33),3.33,cse,15L
32,32,32,32,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),FA18,168,79,70.4%,61.4%,5.23,B (3.26),B (3.18),3.18,cse,15L
33,33,33,33,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (B),FA18,146,95,72.4%,64.0%,5.24,B (3.29),B (3.18),3.18,cse,15L
34,34,34,34,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (C),FA18,87,44,65.9%,53.8%,4.5,B (3.24),B (3.18),3.18,cse,15L
