,GPA,yearly_num,dept,num,index,Course
MUS 2A,3.6437417943107224,37,MUS,2,3,
MUS 2B,3.510053908355795,27,MUS,2,4,
MUS 2C,3.6602991452991454,22,MUS,2,5,
MUS 2CK,4.0,0,MUS,2,6,
MUS 4,3.4177644642245806,604,MUS,4,7,
MUS 5,3.623777249306382,533,MUS,5,8,
MUS 6,3.442781712813909,179,MUS,6,9,
MUS 7,3.4429142185663926,157,MUS,7,10,
MUS 8,3.6172978547854786,174,MUS,8,11,
MUS 8GS,3.813333333333334,24,MUS,8,12,
MUS 9,3.738364652107669,123,MUS,9,13,
MUS 10,3.37,0,MUS,10,14,
MUS 11,3.7338343141693078,135,MUS,11,15,
MUS 12,3.5453222453222453,160,MUS,12,16,
MUS 13,3.6106387035271688,205,MUS,13,17,
MUS 13AF,3.4413537117903927,0,MUS,13,18,
MUS 13AM,3.4515560391730142,0,MUS,13,19,
MUS 13AS,3.501196473551637,0,MUS,13,20,
MUS 14,3.496031976744186,60,MUS,14,21,
MUS 15,3.513313800175798,891,MUS,15,22,
MUS 16,3.2518951612903226,0,MUS,16,23,
MUS 17,3.5087402229988354,718,MUS,17,24,
MUS 19,3.7880519480519483,246,MUS,19,25,
MUS 19R,3.7800000000000002,191,MUS,19,26,
MUS 20,3.7891379310344826,42,MUS,20,27,
MUS 33,4.0,0,MUS,33,28,
MUS 33A,3.9539024390243904,0,MUS,33,29,
MUS 80,3.8633333333333337,46,MUS,80,30,
MUS 95C,3.9707680872150646,0,MUS,95,31,
MUS 95E,3.9970314192849408,83,MUS,95,32,
MUS 95JC,3.994113924050633,75,MUS,95,33,
MUS 95K,3.990627306273063,0,MUS,95,34,
MUS 95L,3.995502421307506,132,MUS,95,35,
MUS 95W,3.883140450964412,164,MUS,95,36,
MUS 101A,3.166045751633987,29,MUS,101,37,
MUS 101B,3.3059859154929576,26,MUS,101,38,
MUS 101C,3.2397500000000004,24,MUS,101,39,
MUS 102A,3.443617021276596,0,MUS,102,40,
MUS 102B,3.655671641791045,0,MUS,102,41,
MUS 102C,3.71765625,0,MUS,102,42,
MUS 110,3.6700000000000004,0,MUS,110,43,
MUS 111,3.5596243875884594,218,MUS,111,44,
MUS 112,3.0642268041237117,0,MUS,112,45,
MUS 113,3.562330623306233,55,MUS,113,46,
MUS 114,3.5741700404858303,445,MUS,114,47,
MUS 115,3.5593092105263158,0,MUS,115,48,
